code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
AWR,አውሲ ራሱ,2,ዞን,AFR,amh,t,110011,2021-02-10 07:55:07.585804
KBR,Kilbet Rasu,2,Zone,AFR,eng,t,110011,2021-02-10 07:55:07.585804
KBR,ኪልቤት ራሱ,2,ዞን,AFR,amh,t,110011,2021-02-10 07:55:07.585804
GBR,Gabi Rasu,2,Zone,AFR,eng,t,110011,2021-02-10 07:55:07.585804
GBR,ጋቢ ራሱ,2,ዞን,AFR,amh,t,110011,2021-02-10 07:55:07.585804
FTR,Fantena Rasu,2,Zone,AFR,eng,t,110011,2021-02-10 07:55:07.585804
FTR,ፋንታና ራሱ,2,ዞን,AFR,amh,t,110011,2021-02-10 07:55:07.585804
HIR,Hari Rasu,2,Zone,AFR,eng,t,110011,2021-02-10 07:55:07.585804
HIR,ሀሪ ራሱ,2,ዞን,AFR,amh,t,110011,2021-02-10 07:55:07.585804
TSHZ,South Zone,2,Zone,TGI,eng,t,110011,2021-02-10 07:55:07.585804
TSHZ,ደቡብ ዞን,2,ዞን,TGI,amh,t,110011,2021-02-10 07:55:07.585804
TSEZ,South East Zone,2,Zone,TGI,eng,t,110011,2021-02-10 07:55:07.585804
TSEZ,ደቡብ ምስራቅ ዞን,2,ዞን,TGI,amh,t,110011,2021-02-10 07:55:07.585804
TCEZ,Central Zone,2,Zone,TGI,eng,t,110011,2021-02-10 07:55:07.585804
TCEZ,ማዕከላዊ ዞን,2,ዞን,TGI,amh,t,110011,2021-02-10 07:55:07.585804
TMSZ,Mekele Special Zone,2,Zone,TGI,eng,t,110011,2021-02-10 07:55:07.585804
TMSZ,መቀሌ ልዩ ዞን,2,ዞን,TGI,amh,t,110011,2021-02-10 07:55:07.585804
TWSZ,West Zone,2,Zone,TGI,eng,t,110011,2021-02-10 07:55:07.585804
TWSZ,ምዕራብ ዞን,2,ዞን,TGI,amh,t,110011,2021-02-10 07:55:07.585804
TESZ,East Zone,2,Zone,TGI,eng,t,110011,2021-02-10 07:55:07.585804
TESZ,ምስራቅ ዞን,2,ዞን,TGI,amh,t,110011,2021-02-10 07:55:07.585804
TNWZ,North West Zone,2,Zone,TGI,eng,t,110011,2021-02-10 07:55:07.585804
TNWZ,ሰሜን ምዕራብ ዞን,2,ዞን,TGI,amh,t,110011,2021-02-10 07:55:07.585804
ASS,Assosa Zone,2,Zone,BGZ,eng,t,110011,2021-02-10 07:55:07.585804
ASS,አሶሳ ዞን,2,ዞን,BGZ,amh,t,110011,2021-02-10 07:55:07.585804
KAZ,Kamashi Zone,2,Zone,BGZ,eng,t,110011,2021-02-10 07:55:07.585804
KAZ,ካማሺ ዞን,2,ዞን,BGZ,amh,t,110011,2021-02-10 07:55:07.585804
MEZ,Metekel Zone,2,Zone,BGZ,eng,t,110011,2021-02-10 07:55:07.585804
MEZ,መተከል ዞን,2,ዞን,BGZ,amh,t,110011,2021-02-10 07:55:07.585804
BGID,Independent districts,2,Zone,BGZ,eng,t,110011,2021-02-10 07:55:07.585804
BGID,ገለልተኛ ወረዳዎች,2,ዞን,BGZ,amh,t,110011,2021-02-10 07:55:07.585804
LBZ,Liben Zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
LBZ,ሊበን ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
AFZ,Afder Zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
AFZ,አፍደር ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
JARZ,Jarar Zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
JARZ,ጃረር ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
NOGZ,Nogob Zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
